ISOURCE_CD,ISOURCE_GRP,
ACT,Search - ACT,
ACT 2013 Arch,Search - ACT,
ACT 2013 Helping,Search - ACT,
ACT 2013 Humanities,Search - ACT,
ACT 2013 MGPC,Search - ACT,
ACT 2013 Social Sciences,Search - ACT,
ACT 2013 STEM,Search - ACT,
ACT 2013 Undecided,Search - ACT,
ACT 2013 VPD,Search - ACT,
ACT 2013 VPM,Search - ACT,
ACT 2013 VPR,Search - ACT,
ACT E1,Search Response,
ACT Search,Search - ACT,
ACT Test Score,Score Sender - ACT,
AP,Score Sender - AP,
AP Score Sender ,Score Sender - AP,
AP Search ,Search - AP,
Application,Application,
ArchLAInfo,Field Domestic,
ASP,Campus Event,
ASP 2014,Campus Event,
ASP_OC,Field Domestic,
ASPsat,Campus Event,
ASPsat 2014,Campus Event,
BigTechTent13,College Event,
Briney,Field Visit,
CA Prospect,Application Starter,
CA Suspect,Application Starter,
CADCD,Fair,
CADCDB,Fair,
CA Transfer ,Application Starter,
CAMP,Camp College,
Campus Event,Campus Event,
CAPPEX,Cappex,
Cappex,Cappex,
Cappex GL,Cappex,
Carnegie PCU,Carnegie PCU,
Carnegie PCU 2013,Carnegie PCU,
CarnegieD CX PCU,Carnegie PCU,
CarnEmailResp,Search Response,
College Event,College Event,
College Fair ,College Fair ,
CollegeWeekLive,CollegeWeek Live,
CWL,CollegeWeek Live,
CWL 2013,CollegeWeek Live,
Dom ,Other,
EC Visit,College Event,
EducationUSA,Form Inquiry,
eField Visit,Field Visit,
Email,Email Inquiry,
Euro2013,Web Inquiry,
euro2013,Web Inquiry,
Event,Event,
Event Registration,Event,
Exactvet,Other,
External Referral ,External Referral ,
Fair ,Fair ,
Fair International ,Fair International ,
Fall Reception,Campus Event,
Field Domestic,Field Domestic,
Field International ,Field International ,
Field Visit ,Field Visit ,
Field Visit International ,Field Visit International ,
FR1 2013,Campus Event,
FR101413,Campus Event,
FR102513,Campus Event,
FR111113,Campus Event,
FR2 2013,Campus Event,
FR3 2013,Campus Event,
FriTransferInfoSess,Campus Event,
GRWIF,Web Inquiry,
GTS,Campus Event,
GTS GTS,Campus Event,
HD-Web,Web Inquiry,
Hillel Visit ,Campus Event,
Hobsons,Hobsons,
Hoilding,Holding,
Holding,Holding,
IECHE,Field International,
IMP MicrowIF,Digital Adv Response,
IMP Microwif,Digital Adv Response,
IMP PURLWIF,Search Response,
InfoSess,Field Domestic,
InfoSess San Juan,Field Domestic,
InfoSessSat,Campus Event,
InfoSessWkdy,Campus Event,
Int,Web Inquiry,
IntCampus,Campus Event,
IntField,Field Domestic,
IntLA,Field Domestic,
IntLAinfo,Field Domestic,
ITGIRLS,College Event,
ITHD,Raiseme,
JrCD,Campus Event,
JrCD 2013,Campus Event,
JrCD 2014,Campus Event,
Lubin House Event,Field Domestic,
Mail,Mail,
MajoringInMusic,MajoringInMusic,
MG virtual event,Virtual Event,
MyCollegeGuide,MyCollegeGuide,
MyMajors,MyMajors,
Native Outreach Day,Campus Event,
NRCCUA,Search - NRCCUA,
Open House,Campus Event,
